# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
1531362,690,-140,709,-61,280,-367
1536626,692,-139,711,-61,280,-367
1541892,690,-138,710,-61,280,-367
1547156,691,-140,711,-61,280,-367
1552420,691,-140,710,-61,280,-367
1557685,692,-140,711,-61,280,-367
1562950,693,-136,708,-61,280,-367
1568214,690,-140,711,-61,280,-367
1573478,694,-142,713,-61,280,-367
1578742,691,-139,712,-61,280,-367
1584008,693,-140,711,-61,280,-367
1589272,692,-140,709,-61,280,-367
1594537,691,-137,713,-61,280,-367
1599801,689,-139,713,-61,280,-367
1605066,689,-140,713,-61,280,-367
1610330,692,-140,708,-61,280,-367
1615812,692,-140,713,-61,280,-367
1621077,692,-141,708,-61,280,-367
1626341,691,-138,710,-61,280,-367
1631606,691,-141,711,-61,280,-367
1636871,692,-138,711,-61,280,-367
1642136,690,-140,711,-61,280,-367
1647400,695,-139,709,-61,280,-367
1652665,694,-139,707,-35,275,-363
1658247,692,-139,711,-35,275,-363
1663512,692,-138,710,-35,275,-363
1668777,692,-138,710,-35,275,-363
1674040,691,-139,710,-35,275,-363
1679304,691,-140,710,-35,275,-363
1684570,693,-139,712,-35,275,-363
1689834,694,-140,708,-35,275,-363
1695098,689,-140,711,-35,275,-363
1700362,689,-140,711,-35,275,-363
1705627,690,-139,710,-35,275,-363
1711110,692,-139,710,-35,275,-363
1716374,693,-137,709,-35,275,-363
1721639,691,-138,711,-35,275,-363
1726903,690,-139,712,-35,275,-363
1732168,691,-139,710,-35,275,-363
1737433,690,-139,711,-35,275,-363
1742697,692,-138,706,-35,275,-363
1747963,692,-139,710,-35,275,-363
1753226,692,-138,709,-35,275,-363
1758490,692,-139,710,-35,275,-363
1763755,694,-139,710,-35,275,-363
1769019,689,-139,711,-35,275,-363
1774284,694,-137,710,-35,275,-363
1779548,690,-137,711,-35,275,-363
1784813,691,-139,712,-35,275,-363
1790077,691,-139,713,-35,275,-363
1795342,692,-137,711,-56,284,-367
1800925,693,-138,709,-56,284,-367
1806189,691,-142,711,-56,284,-367
1811671,687,-139,710,-56,284,-367
1816936,689,-138,712,-56,284,-367
1822200,693,-142,711,-56,284,-367
1827464,690,-139,714,-56,284,-367
1832728,693,-139,708,-56,284,-367
